index,x,y,z,carla_heading,heading,latitude,longitude,elevation
0,122.6563949584961,-216.5980682373047,244.26898193359375,124.59255981445312,34.592559814453125,42.3025391192385,-83.69779345760013,244.26898193359375
1,121.52827453613281,-214.83151245117188,244.31532287597656,120.69100952148438,30.691009521484375,42.302523250486246,-83.69780715926,244.31532287597656
2,120.52507019042969,-212.99415588378906,244.3596954345703,116.64727783203125,26.64727783203125,42.30250674573509,-83.69781934374353,244.3596954345703
3,119.65904235839844,-211.0906524658203,244.4012908935547,112.28965759277344,22.289657592773438,42.302489646790264,-83.69782986214081,244.4012908935547
4,118.9417724609375,-209.13015747070312,244.43936157226562,107.83549499511719,17.835494995117188,42.30247203589201,-83.69783857378893,244.43936157226562
5,118.37894439697266,-207.12489318847656,244.47312927246094,103.4046401977539,13.404640197753906,42.30245402283134,-83.69784540965374,244.47312927246094
6,117.9674072265625,-205.089111328125,244.50180053710938,99.28995513916016,9.289955139160156,42.30243573562947,-83.69785040800517,244.50180053710938
7,117.68643951416016,-203.03939819335938,244.52459716796875,96.35871124267578,6.358711242675781,42.30241732327917,-83.69785382051677,244.52459716796875
8,117.48247528076172,-200.99441528320312,244.54078674316406,95.01185607910156,5.0118560791015625,42.30239895341458,-83.69785629777762,244.54078674316406
9,117.32197570800781,-198.95785522460938,244.55006408691406,93.96411895751953,3.9641189575195312,42.30238065920625,-83.6978582471356,244.55006408691406
10,117.19618225097656,-196.9282684326172,244.55230712890625,93.14443969726562,3.144439697265625,42.30236242763277,-83.6978597749682,244.55230712890625
11,117.0948715209961,-194.90634155273438,244.54742431640625,92.64533996582031,2.6453399658203125,42.302344264862256,-83.69786100544425,244.54742431640625
12,117.00814056396484,-192.89186096191406,244.53530883789062,92.3038330078125,2.3038330078125,42.30232616897584,-83.69786205884073,244.53530883789062
13,116.93302917480469,-190.88504028320312,244.51585388183594,92.00183868408203,2.0018386840820312,42.30230814189247,-83.69786297111098,244.51585388183594
14,116.8673324584961,-188.88641357421875,244.4889678955078,91.79029083251953,1.7902908325195312,42.30229018840964,-83.69786376903471,244.4889678955078
15,116.7719955444336,-185.8064422607422,244.4507598876953,91.76705169677734,1.7670516967773438,42.302262521296086,-83.69786492695539,244.4507598876953
16,116.7719955444336,-185.8064422607422,244.4507598876953,91.76705169677734,1.7670516967773438,42.302262521296086,-83.69786492695539,244.4507598876953
17,116.70905303955078,-183.8074188232422,244.4024658203125,91.83995819091797,1.8399581909179688,42.3022445642365,-83.69786569142768,244.4024658203125
18,116.64344024658203,-181.80845642089844,244.34652709960938,91.9207763671875,1.9207763671875,42.30222660772006,-83.69786648833211,244.34652709960938
19,116.57486724853516,-179.80955505371094,244.28396606445312,92.009521484375,2.009521484375,42.302208651746724,-83.69786732118992,244.28396606445312
20,116.50306701660156,-177.8107452392578,244.21578979492188,92.1062240600586,2.1062240600585938,42.30219069659074,-83.69786819324429,244.21578979492188
21,116.4277572631836,-175.8120880126953,244.1430206298828,92.21088409423828,2.2108840942382812,42.30217274280028,-83.6978691079238,244.1430206298828
22,116.34854125976562,-173.8135986328125,244.06661987304688,92.33568572998047,2.3356857299804688,42.302154790512475,-83.69787007004692,244.06661987304688
23,116.2640151977539,-171.81532287597656,243.98509216308594,92.51959991455078,2.5195999145507812,42.3021368401385,-83.69787109666369,243.98509216308594
24,116.17230224609375,-169.81739807128906,243.8971710205078,92.73697662353516,2.7369766235351562,42.30211889291198,-83.6978722105693,243.8971710205078
25,116.07304382324219,-167.81982421875,243.802978515625,92.95156860351562,2.951568603515625,42.30210094883296,-83.69787341611892,243.802978515625
26,115.96644592285156,-165.82260131835938,243.70260620117188,93.15742492675781,3.1574249267578125,42.30208300790139,-83.69787471081064,243.70260620117188
27,115.85283660888672,-163.8257293701172,243.59617614746094,93.35405731201172,3.3540573120117188,42.302065070117294,-83.69787609065995,243.59617614746094
28,115.73011016845703,-161.8292999267578,243.48390197753906,93.79595184326172,3.7959518432617188,42.30204713630309,-83.6978775812419,243.48390197753906
29,115.5792007446289,-159.83416748046875,243.36801147460938,94.98240661621094,4.9824066162109375,42.30202921413465,-83.6978794141221,243.36801147460938
30,115.37332153320312,-157.8416748046875,243.24908447265625,97.00765991210938,7.007659912109375,42.30201131567401,-83.69788191464144,243.24908447265625
31,115.0748062133789,-155.85336303710938,243.12664794921875,100.2529525756836,10.252952575683594,42.30199345476518,-83.69788554027865,243.12664794921875
32,114.66044616699219,-153.8700714111328,243.000244140625,103.29837799072266,13.298377990722656,42.30197563894697,-83.6978905729155,243.000244140625
33,113.82892608642578,-150.6148681640625,242.80560302734375,105.46232604980469,15.462326049804688,42.30194639759384,-83.69790067219664,242.80560302734375
34,113.82892608642578,-150.6148681640625,242.80560302734375,105.46232604980469,15.462326049804688,42.30194639759384,-83.69790067219664,242.80560302734375
35,113.26026153564453,-148.63809204101562,242.68157958984375,107.32965850830078,17.32965850830078,42.30192864029087,-83.69790757894887,242.68157958984375
36,112.40741729736328,-146.09718322753906,242.4192657470703,110.8267593383789,20.826759338378906,42.3019058153985,-83.69791793722396,242.4192657470703
37,112.40741729736328,-146.09718322753906,242.4192657470703,113.23897552490234,23.238975524902344,42.3019058153985,-83.69791793722396,242.4192657470703
38,111.9273452758789,-144.09152221679688,242.2974395751953,96.49835968017578,6.498359680175781,42.301887798612086,-83.69792376796988,242.2974395751953
39,111.85423278808594,-142.06480407714844,242.1778106689453,88.67733001708984,358.67733001708984,42.3018695926649,-83.69792465596235,242.1778106689453
40,111.97135162353516,-140.0498046875,242.05975341796875,85.13896942138672,355.1389694213867,42.301851491981665,-83.69792323348793,242.05975341796875
41,112.17721557617188,-138.05052185058594,241.94264221191406,83.21285247802734,353.21285247802734,42.30183353247466,-83.69792073315392,241.94264221191406
42,112.43863677978516,-136.0633544921875,241.82568359375,81.94629669189453,351.94629669189453,42.3018156817956,-83.69791755804572,241.82568359375
